六碼郵遞區號,電腦局號,郵務局號,局名,電腦局名,郵務電話,儲匯電話,郵務傳真,縣市,鄉鎮市區,地址,經度,緯度,平常日提供服務,平常日延時提供服務,週六提供服務,週日提供服務,週一 郵務,週二 郵務,週三 郵務,週四 郵務,週五 郵務,週一 儲匯,週二 儲匯,週三 儲匯,週四 儲匯,週五 儲匯,週六,週日,提供郵務業務延時服務郵局 週一至週五,提供郵務及儲匯業務延時服務郵局 週一至週五,營業時間備註,郵遞區號
103211,000111-4,100011,臺北圓環郵局,臺北11支,(02)2556-1703,(02)2559-2168,(02)2555-1442,臺北市,大同區,重慶北路二段15號,121.514425,25.054665,○,○,,,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 , , ,○,,,10356
100211,000112-8,100012,行政院郵局,臺北12支,(02)2321-4874,(02)2321-4874,(02)2356-3100,臺北市,中正區,北平東路2號(行政院內),121.521525,25.04687,○,,,,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 , , ,,,,10051
100046,000113-1,100013,臺北公館郵局,臺北13支,(02)2365-9518,(02)2368-8574,(02)2365-7254,臺北市,中正區,羅斯福路四段74號(B1),121.534035,25.015428,○,○,○,,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,09:00-12:00 , ,○,,自110年12月1日起，本局營業時間調整如下：<br>星期一至星期五<br>郵務：08：30-17：30<br>儲匯：08：30-17：00<br>星期六：09：00-12：00<br>,10091
100006,000114-5,100014,國史館郵局,臺北14支,(02)2331-0962,(02)2311-7879,(02)2389-6842,臺北市,中正區,博愛路168號之1(國史館1樓),121.511028,25.039548,○,○,,,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 , , ,○,,,10048
100004,000115-9,100015,總統府郵局,臺北15支,(02)2311-0859,(02)2311-0859,(02)2361-1823,臺北市,中正區,重慶南路一段122號(總統府內),121.511596,25.039824,○,○,,,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 , , ,○,,,10048
104218,000117-6,100017,臺北雙連郵局,臺北17支,(02)2541-4332,(02)2523-6846,(02)2567-1443,臺北市,中山區,中山北路二段96號,121.522548,25.059406,○,○,,,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 , , ,○,,,10449
105047,000118-0,100018,臺北松山郵局,臺北18支,(02)2767-4928,(02)8787-9193,(02)2763-7471,臺北市,松山區,八德路四段626號,121.574143,25.049869,○,○,,,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 , , ,○,,,10566
100205,000120-5,100020,臺北法院郵局,臺北20支,(02)2331-4925,(02)2311-3025,(02)2311-6804,臺北市,中正區,博愛路127號(司法大廈內),121.511139,25.038072,○,○,,,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 , , ,○,,,10048
103221,000121-9,100021,臺北臺北橋郵局,臺北21支,(02)2557-8538,(02)2550-2821,(02)2557-5104,臺北市,大同區,民權西路246號,121.512683,25.062796,○,,,,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 , , ,,,112年2月1起郵務營業時間調整為8時30分至17時。<br>,10357
106209,000122-2,100022,臺北師大郵局,臺北22支,(02)2363-5053,(02)2363-5053,(02)2363-3752,臺北市,大安區,和平東路一段162號(師範大學內，師範大學與師大路皆可進出),121.5271294,25.0253057,○,,,,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 , , ,,,,10610
106216,000123-6,100023,臺大郵局,臺北23支,(02)2363-3435,(02)2363-3435,(02)2362-2821,臺北市,大安區,羅斯福路四段1號(台灣大學內),121.537433,25.018646,○,○,,,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 , , ,○,,,10617
106240,000124-0,100024,臺北仁愛路郵局,臺北24支,(02)2771-1497,(02)2752-4551,(02)2773-1354,臺北市,大安區,仁愛路三段47號,121.535569,25.038628,○,○,,,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 , , ,○,,,10651
100222,000125-3,100025,立法院郵局,臺北25支,(02)2391-7844,(02)2321-9814,(02)2356-3110,臺北市,中正區,濟南路一段1號(立法院旁),121.520018,25.043217,○,○,,,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 , , ,○,,,10051
106096,000126-7,100026,臺北信維郵局,臺北26支,(02)2707-7130,(02)2708-3670,(02)2703-4674,臺北市,大安區,信義路四段101號,121.547499,25.033611,○,○,○,,08:30-18:00 ,08:30-18:00 ,08:30-18:00 ,08:30-18:00 ,08:30-18:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,09:00-12:00 , ,○,,112年2月1起儲匯營業時間調整為8時30分至17時。<br>,10682
104282,000127-1,100027,臺北建北郵局,臺北27支,(02)2502-0944,(02)2504-1943,(02)2506-3004,臺北市,中山區,建國北路二段33號,121.537185,25.055026,○,○,,,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 , , ,○,,,10479
111011,000128-4,100028,士林郵局,臺北28支,(02)2881-8743,(02)2881-2535,(02)2883-1974,臺北市,士林區,文林路162號,121.526882,25.089289,○,○,○,,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,09:00-12:00 , ,○,,配合台灣電力公司計畫性工作停電，112年8月19日（星期六）上午9點至12點停止營業，自動櫃員機併同停止服務。<br>,11163
116052,000129-8,100029,文山景美郵局,臺北29支,(02)2931-2010,(02)2932-3411,(02)2935-4274,臺北市,文山區,羅斯福路六段389號,121.540901,24.992446,○,○,○,,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,09:00-12:00 , ,○,,,11670
100037,000130-0,100030,臺北古亭郵局,臺北30支,(02)2367-2165,(02)2368-2923,(02)2365-9046,臺北市,中正區,南昌路二段232號,121.524667,25.023693,○,○,,,08:30-18:00 ,08:30-18:00 ,08:30-18:00 ,08:30-18:00 ,08:30-18:00 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 , , ,,○,,10084
108240,000131-3,100031,臺北東園郵局,臺北31支,(02)2309-9202,(02)2303-8013,(02)2332-0286,臺北市,萬華區,東園街148、150號,121.497552,25.023318,○,○,,,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 , , ,○,,,10869
106236,000132-7,100032,臺北光華郵局,臺北32支,(02)2741-0600,(02)2731-5570,(02)2773-0174,臺北市,大安區,新生北路一段7之2號,121.533162,25.045154,○,○,,,12:00-19:30 ,12:00-19:30 ,12:00-19:30 ,12:00-19:30 ,12:00-19:30 ,12:00-19:30 ,12:00-19:30 ,12:00-19:30 ,12:00-19:30 ,12:00-19:30 , , ,,○,為利民眾下班後用郵，本局將於108年11月1日起調整週一至週五營業時間為12時至19時30分。<br>,10666
100007,000133-1,100033,臺北南陽郵局,臺北33支,(02)2361-3711,(02)2375-4227,(02)2389-6432,臺北市,中正區,信陽街8號,121.516071,25.044638,○,○,,,08:30-18:00 ,08:30-18:00 ,08:30-18:00 ,08:30-18:00 ,08:30-18:00 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 , , ,,○,,10047
104102,000134-4,100034,臺北中崙郵局,臺北34支,(02)2771-1401,(02)2772-5405,(02)2752-7004,臺北市,中山區,復興北路40號,121.543718,25.049404,○,○,○,,08:30-18:00 ,08:30-18:00 ,08:30-18:00 ,08:30-18:00 ,08:30-18:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,09:00-12:00 , ,○,,自112年6月1日起調整儲匯營業時間為8時30分-17時。<br>,10488
108228,000135-8,100035,臺北莒光郵局,臺北35支,(02)2302-4644,(02)2302-4649,(02)2308-6791,臺北市,萬華區,莒光路210號,121.501124,25.031396,○,○,○,,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,09:00-12:00 , ,○,,,10862
105407,000136-1,100036,臺北光復郵局,臺北36支,(02)2570-1157,(02)2578-6944,(02)2577-8387,臺北市,松山區,八德路三段240號,121.557611,25.047994,○,○,○,,08:30-18:00 ,08:30-18:00 ,08:30-18:00 ,08:30-18:00 ,08:30-18:00 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,09:00-12:00 , ,,○,,10555
104244,000137-5,100037,臺北大直郵局,臺北37支,(02)2533-4543,(02)2533-4543,(02)2533-9087,臺北市,中山區,北安路518巷14弄18、20號,121.545445,25.078971,○,,,,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 , , ,,,,10465
111064,000142-1,100042,士林社子郵局,臺北42支,(02)2812-2884,(02)2812-1072,(02)2816-1284,臺北市,士林區,延平北路五段150號,121.510448,25.082442,○,○,,,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 , , ,○,,,11165
106231,000143-5,100043,臺北三張犁郵局,臺北43支,(02)2709-6837,(02)2701-5196,(02)2703-4745,臺北市,大安區,信義路四段337號,121.556403,25.033252,○,○,○,,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,09:00-12:00 , ,○,,自111年7月1日起，營業時間調整如下：<br>郵務：08:30-17:30<br>儲匯：08:30-17:00<br>,10692
106247,000144-9,100044,臺北成功郵局,臺北44支,(02)2704-3862,(02)2708-1087,(02)2708-5084,臺北市,大安區,四維路198巷38弄12號,121.545403,25.026465,○,○,○,,08:30-18:00 ,08:30-18:00 ,08:30-18:00 ,08:30-18:00 ,08:30-18:00 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,09:00-12:00 , ,,○,,10670
105008,000145-2,100045,松山機場郵局,臺北45支,(02)2713-3365,(02)2713-3365,(02)2716-5254,臺北市,松山區,敦化北路340-9號(松山機場內 ),121.550858,25.063785,○,,○,,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,09:00-12:00 , ,,,,10548
104297,000146-6,100046,臺北長安郵局,臺北46支,(02)2506-8771,(02)2515-0399,(02)2506-0544,臺北市,中山區,長安東路二段97號,121.53485,25.048551,○,○,,,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 , , ,○,,自111年9月1日起調整郵務營業時間為8時30分-17時30分。<br>,10455
103247,000147-0,100047,臺北大同郵局,臺北47支,(02)2597-4508,(02)2594-1868,(02)2591-0819,臺北市,大同區,承德路三段83號,121.518524,25.065943,○,○,○,,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,09:00-12:00 , ,○,,,10364
105063,000148-3,100048,臺北西松郵局,臺北48支,(02)2769-7535,(02)2768-2358,(02)2746-5444,臺北市,松山區,南京東路五段311號,121.566694,25.051579,○,○,,,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 , , ,○,,,10569
110204,000149-7,100049,臺北市府郵局,臺北49支,(02)2720-0690,(02)2720-9930,(02)2720-0691,臺北市,信義區,市府路1號地下2樓(台北市政府內),121.563781,25.037536,○,○,,,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 , , ,○,,,11008
103250,000150-9,100050,臺北大龍峒郵局,臺北50支,(02)2597-5098,(02)2586-0105,(02)2591-0824,臺北市,大同區,重慶北路三段338號,121.513628,25.076127,○,,,,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 , , ,,,,10371
110210,000151-2,100051,臺北松德郵局,臺北51支,(02)2727-3686,(02)2726-3738,(02)2728-1154,臺北市,信義區,松德路300號(臺北市政府松德辦公大樓1樓),121.574287,25.032023,○,○,,,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 , , ,○,,,11086
111029,000152-6,100052,士林天母郵局,臺北52支,(02)2871-8271,(02)2873-5072,(02)2875-3034,臺北市,士林區,中山北路七段130號,121.532146,25.122812,○,,○,,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,09:00-12:00 , ,,,,11151
106233,000153-0,100053,臺北光武郵局,臺北53支,(02)2781-6693,(02)2721-1634,(02)2773-1424,臺北市,大安區,大安路一段52巷16號,121.545601,25.043027,○,○,○,,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,09:00-12:00 , ,○,,,10691
110017,000154-3,100054,臺北吳興郵局,臺北54支,(02)2720-0060,(02)2722-3543,(02)2720-5084,臺北市,信義區,莊敬路418號之1,121.566366,25.026957,○,○,○,,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,09:00-12:00 , ,○,,,11050
104223,000155-7,100055,臺北松江路郵局,臺北55支,(02)2521-6681,(02)2561-8954,(02)2581-5557,臺北市,中山區,松江路366號,121.533055,25.062222,○,○,○,,08:30-18:00 ,08:30-18:00 ,08:30-18:00 ,08:30-18:00 ,08:30-18:00 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,09:00-12:00 , ,,○,,10468
105015,000156-1,100056,臺北延壽郵局,臺北56支,(02)2756-7232,(02)2768-3079,(02)2763-2541,臺北市,松山區,民生東路五段12號,121.555969,25.058159,○,,,,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 , , ,,,自110年3月2日(星期二)起調整營業時間<br>,10572
106224,000157-4,100057,臺北六張犁郵局,臺北57支,(02)2733-5532,(02)2733-0262,(02)2733-5294,臺北市,大安區,和平東路三段208號,121.553823,25.022872,○,○,,,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 , , ,○,,,10674
100213,000158-8,100058,臺北小南門郵局,臺北58支,(02)2375-9856,(02)2375-9856,(02)2388-5053,臺北市,中正區,廣州街15號(內政部移民署地下1樓),121.508116,25.035808,○,,,,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 , , ,,,,10066
111001,000159-1,100059,故宮郵局,臺北59支,(02)2881-8410,(02)2881-8410,(02)2883-3454,臺北市,士林區,至善路二段221號(故宮博物院內),121.548764,25.102015,○,,○,○, ,09:00-17:00 ,09:00-17:00 ,09:00-17:00 ,09:00-17:00 , ,09:00-17:00 ,09:00-17:00 ,09:00-17:00 ,09:00-17:00 ,09:00-17:00 ,09:00-17:00 ,,,1.週一停止營業(除10月9日、10月16日、10月23日、10月30日、11月6日及12月4日外)。<br>2.週六日、國定假日及112年10月9日僅販售代售商品及集郵票品，儲匯業務僅提供兌換外幣服務。<br>,11143
103261,000161-7,100061,臺北保安郵局,臺北61支,(02)2553-9692,(02)2553-9692,(02)2557-3420,臺北市,大同區,重慶北路二段183號,121.513758,25.059877,○,,,,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 , , ,,,,10359
100230,000164-8,100064,臺北火車站郵局,臺北64支,(02)2311-4239,(02)2311-4239,(02)2389-6753,臺北市,中正區,北平西路3號(台北火車站內),121.517699,25.047590999999997,○,○,○,,08:30-18:30 ,08:30-18:30 ,08:30-18:30 ,08:30-18:30 ,08:30-18:30 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,09:00-12:00 , ,○,,本局不收國際包裹郵件。<br><br>,10041
104231,000165-1,100065,臺北圓山郵局,臺北65支,(02)2592-1606,(02)2592-1606,(02)2591-0780,臺北市,中山區,林森北路573號,121.525811,25.065024,○,○,,,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 , , ,○,,,10460
104288,000167-9,100067,臺北長春路郵局,臺北67支,(02)2521-6967,(02)2537-3821,(02)2567-1446,臺北市,中山區,長春路129號之2,121.530632,25.055003,○,○,○,,08:30-18:00 ,08:30-18:00 ,08:30-18:00 ,08:30-18:00 ,08:30-18:00 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,09:00-12:00 , ,,○,,10459
104226,000168-2,100068,臺北民權郵局,臺北68支,(02)2571-6241,(02)2563-8027,(02)2567-1444,臺北市,中山區,民權西路22號,121.521633,25.062578,○,○,,,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 , , ,○,,自112年11月1日起星期六停止營業。<br>,10449
108212,000170-8,100070,臺北老松郵局,臺北70支,(02)2389-4549,(02)2389-4549,(02)2361-1513,臺北市,萬華區,桂林路51號,121.504011,25.038076,○,,,,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 , , ,,,,10849
100048,000171-1,100071,臺北汀州郵局,臺北71支,(02)2363-7009,(02)2363-7009,(02)2363-4308,臺北市,中正區,汀州路三段301號,121.53588,25.011795,○,○,,,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 , , ,○,,,10091
100062,000172-5,100072,臺北龍口郵局,臺北72支,(02)2309-9158,(02)2303-4060,(02)2307-8062,臺北市,中正區,和平西路二段68號,121.511598,25.029097,○,,,,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 , , ,,,,10070
111010,000173-9,100073,士林中正路郵局,臺北73支,(02)8866-6045,(02)8866-6047,(02)8866-6049,臺北市,士林區,中正路420號,121.51952,25.093549,○,○,,,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 , , ,○,,,11162
108245,000174-2,100074,臺北萬大路郵局,臺北74支,(02)2301-2793,(02)2309-7442,(02)2301-9934,臺北市,萬華區,萬大路524號,121.496783,25.018886,○,,,,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 , , ,,,,10872
116071,000175-6,100075,文山興隆路郵局,臺北75支,(02)2935-7813,(02)2931-8476,(02)2935-4594,臺北市,文山區,興隆路二段171號,121.548895,25.000715,○,,,,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 , , ,,,,11689
